path,match_type,reason
/,exact,Homepage purchase decision hub with measured Kindle Kobo Audible CTAs
/recommend/,exact,Primary purchase decision guide
/lp/,prefix,Kindle and Kobo conversion landing pages
/fiction/,exact,Owned Kindle book catalog
/posts/kindle-paperwhite-review/,exact,Kindle device review
/posts/kobo-clara-review/,exact,Kobo device review
/posts/2025/12/dian-zi-shu-ji-nose-ruwoxiao-lu-yokuzhui-ufang-fa/,exact,Proven e-book sale tracking guide with store decision intent
/posts/2026/05/pythonreheruatsuhutoriru-sekiyuritei1nian-sheng-kaban-e-kind/,exact,Kindle IT learning book sale guide with purchase intent
/posts/2026/05/python-javascript-c-natogao-jia-nahurokuraminkuben-kaan-i-am/,exact,Programming book sale guide with language-specific purchase intent
/posts/2026/02/notebooklm-huronhutowoshi-tsutasuraitoxiu-zheng-ji-neng-to-p/,exact,NotebookLM PowerPoint workflow guide with AI and presentation book intent
/posts/2026/04/kindle-tahuretsuto/,exact,Kindle versus Fire tablet comparison with device purchase intent
/posts/kindle-vs-kobo/,exact,Device and ecosystem comparison
